Date,Open,High,Low,Close,Adj Close,Volume
2021-10-28,308.399994,314.799988,299.200012,301.799988,301.682007,6547083
2021-10-29,294.200012,303.000000,289.000000,296.600006,296.484070,11397921
2021-11-01,292.000000,292.799988,280.600006,287.200012,287.087738,17426570
2021-11-02,291.799988,302.200012,289.399994,297.600006,297.483673,12894136
2021-11-03,292.600006,297.399994,287.200012,292.799988,292.685547,5438488
2021-11-04,298.000000,316.600006,297.799988,315.600006,315.476654,12184034
2021-11-05,313.799988,316.200012,306.399994,311.000000,310.878448,10920136
2021-11-08,308.000000,311.399994,301.799988,304.000000,303.881165,5906350
2021-11-09,306.600006,316.200012,306.200012,310.600006,310.478607,6044984
2021-11-10,306.799988,306.799988,291.200012,299.399994,299.282959,10353408
2021-11-11,298.000000,302.799988,294.200012,301.600006,301.482117,4376009
2021-11-12,307.000000,307.000000,299.399994,300.000000,299.882721,3792919
2021-11-15,300.799988,302.000000,290.000000,294.000000,293.885071,7199919
2021-11-16,294.000000,301.200012,290.000000,299.799988,299.682800,5552266
2021-11-17,303.000000,305.600006,297.200012,298.799988,298.683197,4605839
2021-11-18,298.000000,305.799988,294.600006,302.799988,302.681641,6449036
2021-11-19,304.000000,304.399994,296.200012,299.799988,299.682800,6898453
2021-11-22,300.000000,318.200012,300.000000,317.000000,316.876099,9770197
2021-11-23,312.000000,319.200012,310.399994,317.000000,316.876099,6553425
2021-11-24,313.600006,317.600006,312.200012,313.799988,313.677338,4099255
2021-11-25,313.000000,313.799988,301.000000,306.799988,306.680054,5686713
2021-11-26,302.000000,309.799988,301.399994,302.000000,301.881958,3877191
2021-11-29,301.000000,307.000000,298.000000,302.200012,302.081879,4810051
2021-11-30,305.399994,311.799988,301.200012,306.399994,306.280212,8445638
2021-12-01,309.200012,311.799988,303.000000,305.799988,305.680450,5503042
2021-12-02,302.000000,310.399994,301.399994,305.399994,305.280609,4808918
2021-12-03,302.399994,307.600006,290.000000,297.799988,297.683594,11041878
2021-12-06,292.799988,298.799988,284.000000,284.000000,283.888977,9545015
2021-12-07,288.000000,292.799988,282.399994,292.200012,292.085785,7385293
2021-12-08,296.000000,296.000000,291.000000,291.799988,291.685913,3816656
2021-12-09,292.200012,295.399994,289.399994,291.600006,291.486023,5063889
2021-12-10,287.000000,291.200012,285.200012,289.799988,289.686707,5424652
2021-12-13,290.600006,293.600006,286.399994,288.200012,288.087372,4311853
2021-12-14,284.000000,286.000000,273.399994,277.399994,277.291565,9190029
2021-12-15,278.200012,278.200012,269.000000,271.000000,270.894073,4969839
2021-12-16,269.000000,276.799988,261.600006,276.600006,276.491882,8971701
2021-12-17,272.799988,272.799988,263.600006,265.600006,265.496185,6856127
2021-12-20,261.200012,263.200012,251.000000,251.600006,251.501663,7912579
2021-12-21,248.800003,256.600006,247.000000,256.000000,255.899933,6320247
2021-12-22,261.799988,266.799988,260.399994,265.000000,264.896423,6105741
2021-12-23,265.799988,271.399994,264.600006,266.200012,266.095947,3805323
2021-12-24,262.000000,262.000000,262.000000,262.000000,261.897583,0
2021-12-28,263.600006,263.600006,254.600006,259.799988,259.698425,4032806
2021-12-29,259.600006,263.200012,256.000000,262.200012,262.097534,2369239
2021-12-30,262.200012,266.799988,259.399994,263.000000,262.897186,2855733
2021-12-31,272.000000,272.000000,266.600006,266.600006,266.495789,2353071
2022-01-03,268.000000,270.799988,263.600006,265.200012,265.096344,1827656
2022-01-04,276.000000,279.600006,267.200012,272.799988,272.693359,7297427
2022-01-05,268.399994,268.399994,249.000000,250.000000,249.902283,11421857
2022-01-06,248.000000,252.600006,244.199997,249.000000,248.902664,6647306
2022-01-07,251.800003,252.800003,242.800003,247.199997,247.103363,6462051
2022-01-10,243.800003,246.399994,237.000000,245.600006,245.503998,7163538
2022-01-11,242.000000,244.399994,238.199997,241.199997,241.105713,5459616
2022-01-12,246.800003,259.799988,245.800003,259.600006,259.498535,9691277
2022-01-13,261.000000,262.799988,253.800003,260.399994,260.298218,5426976
2022-01-14,255.199997,264.000000,254.000000,263.799988,263.696869,5430555
2022-01-17,262.799988,273.000000,260.799988,268.200012,268.095184,5782208
2022-01-18,269.600006,271.200012,264.200012,266.000000,265.896027,3578331
2022-01-19,264.600006,269.399994,252.399994,258.000000,257.899139,5478723
2022-01-20,257.399994,261.399994,252.600006,261.200012,261.097900,5338539
2022-01-21,259.399994,263.799988,254.800003,260.799988,260.698059,3443820
2022-01-24,253.199997,256.000000,248.800003,252.199997,252.101410,6067212
2022-01-25,247.000000,251.800003,240.000000,242.399994,242.305237,7884530
2022-01-26,243.000000,250.600006,241.199997,245.600006,245.503998,6138404
2022-01-27,241.000000,245.000000,238.600006,241.600006,241.505569,4567098
2022-01-28,237.199997,238.000000,218.000000,219.800003,219.714081,14316649
2022-01-31,221.800003,221.800003,221.800003,221.800003,221.713303,0
2022-02-04,229.000000,238.000000,226.600006,237.000000,236.907364,7536085
2022-02-07,240.800003,245.399994,237.199997,241.399994,241.305634,5110492
2022-02-08,240.800003,241.399994,228.000000,235.399994,235.307983,7292076
2022-02-09,240.800003,247.399994,239.199997,243.600006,243.504791,6541508
2022-02-10,248.600006,248.600006,236.000000,240.600006,240.505966,4877996
2022-02-11,238.000000,239.800003,231.600006,233.600006,233.508698,5769984
2022-02-14,230.000000,236.000000,228.000000,235.399994,235.307983,5788616
2022-02-15,235.199997,243.000000,234.800003,240.800003,240.705872,5428622
2022-02-16,244.800003,249.399994,244.800003,247.000000,246.903458,5551398
2022-02-17,250.000000,255.399994,246.600006,253.600006,253.500870,6262804
2022-02-18,249.600006,251.600006,245.000000,246.199997,246.103760,4077954
2022-02-21,243.600006,248.000000,241.199997,246.800003,246.703537,3477551
2022-02-22,238.000000,240.600006,234.199997,236.000000,235.907745,6763490
2022-02-23,236.399994,247.399994,236.199997,243.399994,243.304855,6942254
2022-02-24,237.000000,241.000000,230.000000,232.199997,232.109238,8936583
2022-02-25,235.600006,240.600006,235.600006,236.000000,235.907745,5669522
2022-02-28,237.399994,238.199997,233.000000,237.399994,237.307190,9266014
2022-03-01,242.399994,248.199997,239.199997,240.399994,240.306030,5441705
2022-03-02,239.600006,241.000000,235.600006,239.199997,239.106491,3291270
2022-03-03,240.600006,241.800003,230.199997,232.399994,232.309158,5363066
2022-03-04,219.800003,226.600006,211.800003,212.399994,212.316971,13140505
2022-03-07,203.000000,204.800003,192.000000,203.199997,203.120575,15150916
2022-03-08,200.800003,203.000000,182.800003,184.000000,183.928070,19776019
2022-03-09,188.000000,192.300003,176.000000,189.899994,189.825760,16204601
2022-03-10,202.399994,206.600006,196.000000,200.199997,200.121735,13718211
2022-03-11,191.800003,198.800003,186.800003,195.100006,195.023743,9829487
2022-03-14,187.800003,188.000000,176.500000,179.000000,178.930038,13691854
2022-03-15,167.000000,184.000000,165.000000,166.899994,166.834747,18325180
2022-03-16,178.500000,198.800003,174.000000,196.600006,196.523163,20164171
2022-03-17,219.000000,220.399994,203.199997,213.800003,213.716431,17186085
2022-03-18,213.199997,215.600006,204.199997,212.199997,212.117050,9727695
2022-03-21,218.199997,221.600006,210.000000,212.399994,212.316971,8473958
2022-03-22,213.000000,217.800003,210.000000,217.600006,217.514954,5618839
2022-03-23,221.000000,232.399994,220.199997,225.600006,225.511826,11204564
2022-03-24,223.000000,230.000000,221.399994,225.199997,225.111969,5773923
2022-03-25,225.199997,231.000000,210.000000,211.600006,211.517288,11172047
2022-03-28,212.199997,214.600006,203.600006,211.399994,211.317368,5270525
2022-03-29,213.600006,218.000000,212.000000,216.000000,215.915573,4708113
2022-03-30,217.000000,225.800003,206.600006,223.800003,223.712524,10291284
2022-03-31,227.600006,227.600006,218.199997,224.399994,224.312286,5631085
2022-04-01,221.199997,227.000000,218.600006,225.199997,225.111969,4492869
2022-04-04,228.600006,243.800003,227.800003,243.600006,243.504791,9112610
2022-04-06,244.000000,244.000000,234.800003,239.199997,239.106491,6409623
2022-04-07,235.000000,242.399994,234.000000,235.600006,235.507919,5405083
2022-04-08,235.000000,238.399994,230.800003,238.399994,238.306808,4035812
2022-04-11,235.399994,235.399994,220.000000,220.800003,220.713699,8955501
2022-04-12,221.399994,227.199997,214.800003,223.600006,223.512604,7727763
2022-04-13,223.600006,233.199997,219.800003,229.000000,228.910492,5446049
2022-04-14,235.399994,243.000000,235.000000,239.800003,239.706268,8096126
2022-04-19,240.000000,244.399994,237.000000,240.000000,239.906189,7212357
2022-04-20,240.000000,244.000000,237.199997,238.600006,238.506744,5609860
2022-04-21,234.000000,236.800003,226.399994,231.199997,231.109619,6704514
2022-04-22,223.000000,234.000000,223.000000,231.600006,231.509476,4493586
2022-04-25,227.399994,228.000000,217.000000,219.399994,219.314240,6139630
2022-04-26,222.399994,230.399994,220.600006,224.199997,224.112366,5608121
2022-04-27,218.000000,226.600006,212.000000,224.000000,223.912445,7144119
2022-04-28,226.800003,227.600006,221.600006,227.199997,227.111191,4478310
2022-04-29,226.600006,236.000000,223.000000,235.800003,235.707825,7472174
2022-05-03,227.000000,236.399994,226.000000,234.800003,234.708221,3533311
2022-05-04,239.600006,242.199997,233.399994,236.600006,236.507523,3950471
2022-05-05,241.800003,244.399994,238.000000,238.399994,238.306808,5512672
2022-05-06,230.000000,233.800003,228.399994,228.600006,228.510651,4820223
2022-05-10,207.800003,218.199997,203.800003,215.000000,214.915955,13174370
2022-05-11,215.000000,238.000000,214.399994,233.199997,233.108841,11219427
2022-05-12,227.399994,231.199997,224.399994,225.800003,225.711746,7344477
2022-05-13,226.399994,239.000000,226.399994,237.199997,237.107285,8039155
2022-05-16,238.800003,241.000000,233.600006,237.600006,237.507126,5551374
2022-05-17,239.600006,256.000000,238.600006,254.000000,253.900711,14867606
2022-05-18,254.000000,262.799988,252.000000,260.200012,260.098297,7910301
2022-05-19,253.399994,263.000000,252.600006,259.600006,259.498535,6489844
2022-05-20,265.000000,271.600006,261.200012,268.600006,268.495026,8913253
2022-05-23,270.000000,274.799988,265.200012,270.399994,270.294312,7477856
2022-05-24,267.000000,269.399994,252.199997,254.800003,254.700409,14440531
2022-05-25,254.399994,264.399994,252.199997,261.200012,261.097900,7207442
2022-05-26,264.000000,265.000000,256.600006,263.799988,263.696869,5339319
2022-05-27,270.799988,273.399994,264.399994,268.600006,268.495026,6722254
2022-05-30,273.799988,276.799988,269.200012,275.000000,274.892517,10012914
2022-05-31,275.000000,280.000000,271.000000,280.000000,279.890564,9385764
2022-06-01,280.000000,285.399994,277.399994,282.600006,282.489532,6467719
2022-06-02,280.600006,286.000000,278.600006,284.399994,284.288818,5222444
2022-06-06,288.000000,301.000000,287.000000,300.600006,300.482513,13037432
2022-06-07,298.799988,300.000000,290.600006,293.799988,293.685150,6857491
2022-06-08,300.399994,305.799988,297.600006,302.000000,301.881958,9244871
2022-06-09,311.399994,311.399994,296.000000,300.000000,299.882721,7890550
2022-06-10,295.399994,319.399994,294.000000,315.799988,315.676544,13262842
2022-06-13,308.200012,321.799988,307.000000,308.200012,308.200012,11536118
2022-06-14,300.600006,305.000000,290.000000,303.799988,303.799988,12529202
2022-06-15,305.600006,309.000000,295.000000,295.799988,295.799988,12302547
2022-06-16,300.000000,303.000000,287.799988,290.799988,290.799988,10260821
2022-06-17,287.600006,300.200012,286.399994,293.000000,293.000000,11368832
2022-06-20,295.200012,303.600006,290.000000,301.200012,301.200012,6787364
2022-06-21,300.600006,301.200012,295.000000,299.600006,299.600006,3864772
2022-06-22,302.000000,304.799988,296.600006,296.600006,296.600006,5195661
2022-06-23,299.200012,315.399994,299.200012,310.000000,310.000000,9801995
2022-06-24,311.000000,316.799988,308.399994,310.200012,310.200012,8076367
2022-06-27,315.000000,320.799988,314.000000,318.000000,318.000000,8232609
2022-06-28,316.000000,333.000000,315.000000,331.399994,331.399994,11753721
2022-06-29,326.600006,327.200012,310.000000,315.000000,315.000000,12721493
2022-06-30,314.000000,320.200012,308.399994,314.000000,314.000000,7749814
2022-07-04,309.200012,316.399994,307.000000,315.799988,315.799988,4952357
2022-07-05,319.000000,321.000000,309.399994,313.600006,313.600006,5608299
2022-07-06,316.600006,318.600006,310.000000,317.399994,317.399994,6565397
2022-07-07,314.399994,325.000000,310.600006,325.000000,325.000000,7636188
2022-07-08,330.000000,330.000000,318.000000,320.799988,320.799988,5248334
